date,equity,cash,positions_count
2025-07-03,178185824.0,102414524.0,5
2025-07-04,178931024.0,93993424.0,2
2025-07-07,178594774.0,93985324.0,2
2025-07-08,177133424.0,93013494.0,2
2025-07-09,177631964.0,102277114.0,5
2025-07-10,180549164.0,103537564.0,5
2025-07-11,180431904.0,180431904.0,0
2025-07-14,180431904.0,103390254.0,5
2025-07-15,179079954.0,102609294.0,5
2025-07-16,178626104.0,93894504.0,2
2025-07-17,179971104.0,93577504.0,2
2025-07-18,180230104.0,94728604.0,2
2025-07-21,180950104.0,94481840.0,2
2025-07-22,179488648.0,94105848.0,2
2025-07-23,175730048.0,92194048.0,2
2025-07-24,174725548.0,91390298.0,2
2025-07-25,175535298.0,101515148.0,5
2025-07-28,175653898.0,100560958.0,5
2025-07-29,173919628.0,91429628.0,2
2025-07-30,175599878.0,93000878.0,2
2025-07-31,171415478.0,90565478.0,2
2025-08-01,169457978.0,89081978.0,2
2025-08-04,168830978.0,88610978.0,2
2025-08-05,167974578.0,96346128.0,5
2025-08-06,168052478.0,96365778.0,5
2025-08-07,167821578.0,167821578.0,0
2025-08-08,167821578.0,96340178.0,5
2025-08-11,167848078.0,88351178.0,2
2025-08-12,167446878.0,96067628.0,5
2025-08-13,165824078.0,93532378.0,5
2025-08-14,165340078.0,86853998.0,2
2025-08-15,167647598.0,96252798.0,5
2025-08-18,167647598.0,96252798.0,5
2025-08-19,167554398.0,127783898.0,1
2025-08-20,168070898.0,96280398.0,5
2025-08-21,166535358.0,96227158.0,5
2025-08-22,169678608.0,97477458.0,5
2025-08-25,171474208.0,98222723.0,5
2025-08-26,174550323.0,99880543.0,5
2025-08-27,175115613.0,100317588.0,5
2025-08-28,175635613.0,100458993.0,5
2025-08-29,175724673.0,100722853.0,5
2025-09-01,174973153.0,99222433.0,5
2025-09-02,173428978.0,173428978.0,0
2025-09-03,173428978.0,99399078.0,5
2025-09-04,173607638.0,99442688.0,5
2025-09-05,173828298.0,99601148.0,5
2025-09-08,175031848.0,100501598.0,5
2025-09-09,174790198.0,91787048.0,2
2025-09-10,176383228.0,91574328.0,2
2025-09-11,177461228.0,93231728.0,2
2025-09-12,181947878.0,93231728.0,2
2025-09-15,183879428.0,94873028.0,2
2025-09-16,184969528.0,97006258.0,2
2025-09-17,199567928.0,104978278.0,2
2025-09-18,213440078.0,112200278.0,2
2025-09-19,216809878.0,112200278.0,2
2025-09-22,202434478.0,106345788.0,2
2025-09-23,201955012.0,105957908.0,2
2025-09-24,209469238.0,109262678.0,2
2025-09-25,206085042.0,107544792.0,2
2025-09-26,200309692.0,104049942.0,2
2025-09-29,199257192.0,104586892.0,2
2025-09-30,200486992.0,115332042.0,5
2025-10-01,202067842.0,116041052.0,5
2025-10-02,202171362.0,115593432.0,5
2025-10-03,201777042.0,105972042.0,2
2025-10-06,201777042.0,105972042.0,2
2025-10-07,201777042.0,105972042.0,2
2025-10-08,201777042.0,105972042.0,2
2025-10-09,201777042.0,105972042.0,2
2025-10-10,201777042.0,105972042.0,2
2025-10-13,204073842.0,107528992.0,2
2025-10-14,204072242.0,108829142.0,2
2025-10-15,199725342.0,105278842.0,2
2025-10-16,200990342.0,106656742.0,2
2025-10-17,200729542.0,105866742.0,2
2025-10-20,196527542.0,103311742.0,2
2025-10-21,200883342.0,105957842.0,2
2025-10-22,199599342.0,104754842.0,2
2025-10-23,202410342.0,105031742.0,2
2025-10-24,198633742.0,113902422.0,5
2025-10-27,199499982.0,114259832.0,5
2025-10-28,201394022.0,105837662.0,2
2025-10-29,202935332.0,116274872.0,5
2025-10-30,206897682.0,119001032.0,5
2025-10-31,207054472.0,109080872.0,2
2025-11-03,209072272.0,109819643.0,2
2025-11-04,213332263.0,113450663.0,2
2025-11-05,205657463.0,108193388.0,2
2025-11-06,205370468.0,117718118.0,5
2025-11-07,202111518.0,202111518.0,0
2025-11-10,202111518.0,202111518.0,0
2025-11-11,202111518.0,202111518.0,0
2025-11-12,202111518.0,115936518.0,5
2025-11-13,202506288.0,116448788.0,5
2025-11-14,204168488.0,107260988.0,2
2025-11-17,207023188.0,118736488.0,5
2025-11-18,209803388.0,120232288.0,5
2025-11-19,203970438.0,203970438.0,0
2025-11-20,203970438.0,203970438.0,0
2025-11-21,203970438.0,116897438.0,5
2025-11-24,203978138.0,116398038.0,5
2025-11-25,203151588.0,154904738.0,1
2025-11-26,199672688.0,115816938.0,5
2025-11-27,202297038.0,106286388.0,2
2025-11-28,199758838.0,103260838.0,2
2025-12-01,197497338.0,102671338.0,2
2025-12-02,196718138.0,103431638.0,2
2025-12-03,196317388.0,103408588.0,2
2025-12-04,194433088.0,111781688.0,5
2025-12-05,197404488.0,113442988.0,5
