Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
484870,KR7484870001,엠앤씨솔루션,KOSPI,,131400,2,-600,-0.45,133100,134500,129500,21198,2780678550,1204653240000,9153900,STK
085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,15570,2,-80,-0.51,15700,15800,15340,558543,8681417535,1193776978460,76426183,KSQ
285130,KR7285130001,SK케미칼,KOSPI,,68200,2,-1400,-2.01,70500,70500,68100,68821,4727346050,1186695347600,17298766,STK
204270,KR7204270003,제이앤티씨,KOSDAQ,중견기업부,20400,2,-50,-0.24,21250,21450,20350,406497,8486007325,1185893553000,57848466,KSQ
440110,KR7440110005,파두,KOSDAQ,기술성장기업부,24000,2,-250,-1.03,24650,24850,23550,377414,9018053750,1184366610350,49451633,KSQ
330590,KR7330590001,롯데리츠,KOSPI,,4105,2,-15,-0.36,4060,4105,4020,946187,3852823662,1181882735560,288968884,STK
253450,KR7253450001,스튜디오드래곤,KOSDAQ GLOBAL,우량기업부,39000,1,450,1.17,38600,39100,38050,92209,3574201850,1172281422000,30058498,KSQ
100090,KR7100090000,SK오션플랜트,KOSPI,,18690,1,30,0.16,18800,19130,18350,491621,9149840095,1169590574880,62478129,STK
232140,KR7232140004,와이씨,KOSDAQ,우량기업부,14280,2,-230,-1.59,14690,14690,14120,539385,7739559480,1165864423500,82045350,KSQ
078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,74600,2,-1600,-2.1,77200,77200,74000,117745,8828763100,1159496415700,15480593,KSQ
000815,KR7000811000,삼성화재우,KOSPI,,378500,1,5000,1.34,374500,378500,372000,8004,2996424000,1154567475000,3099510,STK
089860,KR7089860001,롯데렌탈,KOSPI,,31800,2,-100,-0.31,31800,31850,31350,21004,664740300,1152823069000,36309388,STK
122870,KR7122870009,와이지엔터테인먼트,KOSDAQ,우량기업부,61600,2,-600,-0.96,62500,62700,61200,129032,7961919850,1151368618400,18691049,KSQ
376900,KR7376900007,로킷헬스케어,KOSDAQ,기술성장기업부,73600,1,1000,1.38,73000,76000,72600,311815,23054674550,1149553292600,15661489,KSQ
192080,KR7192080000,더블유게임즈,KOSPI,,53300,1,300,0.57,53400,53800,52800,51033,2719519250,1145731789800,21495906,STK
319400,KR7319400008,현대무벡스,KOSDAQ,우량기업부,10280,2,-330,-3.11,10660,10840,10120,3905816,40890442820,1143831920530,111376039,KSQ
280360,KR7280360009,롯데웰푸드,KOSPI,,122300,1,2000,1.66,120500,124400,119900,35603,4354164500,1132366655800,9304574,STK
137310,KR7137310009,에스디바이오센서,KOSPI,,9270,1,160,1.76,9200,9390,9170,205095,1906436740,1129831666560,121749102,STK
229640,KR7229640008,LS에코에너지,KOSPI,,36500,2,-100,-0.27,37500,37650,36300,103427,3805898800,1123933059300,30624879,STK
389470,KR7389470006,인벤티지랩,KOSDAQ,기술성장기업부,90000,2,-1000,-1.1,91500,99000,88100,854863,79864350600,1117709331200,12391456,KSQ
365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,4485,1,200,4.67,4285,4560,4265,2951413,13160127084,1109861390000,246089000,STK
030610,KR7030610000,교보증권,KOSPI,,9500,1,40,0.42,9550,9740,9450,477724,4601918155,1105440721700,113962961,STK
006120,KR7006120000,SK디스커버리,KOSPI,,60000,1,600,1.01,60400,60900,59300,12718,761972250,1102706085500,18347855,STK
192400,KR7192400000,쿠쿠홀딩스,KOSPI,,30900,1,400,1.31,30550,31050,30400,55149,1697204400,1102427735000,35562185,STK
328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,37550,1,450,1.21,37600,37700,36850,166488,6223141775,1092739463100,29256746,KSQ
009240,KR7009240003,한샘,KOSPI,,46200,1,350,0.76,46300,46550,45450,48415,2234648675,1087267473600,23533928,STK
161580,KR7161580006,필옵틱스,KOSDAQ,중견기업부,46250,1,1100,2.44,47400,48500,45800,666950,31402808700,1076526362000,23402747,KSQ
388720,KR7388720005,유일로보틱스,KOSDAQ,벤처기업부,91400,2,-1200,-1.3,92300,93600,88400,485117,44177455050,1069087063000,11696795,KSQ
012630,KR7012630000,HDC,KOSPI,,18030,1,50,0.28,18120,18390,17500,857738,15438407035,1066987137060,59741721,STK
030190,KR7030190003,NICE평가정보,KOSPI,,17940,1,690,4.0,17390,18000,17190,194777,3477055045,1066358146560,59506593,STK
082640,KR7082640004,동양생명,KOSPI,,6560,1,30,0.46,6530,6630,6520,75494,496917620,1063353075150,161358585,STK
317450,KR7317450005,명인제약,KOSPI,,72300,1,800,1.12,71800,73300,71700,57930,4197437450,1054120000000,14600000,STK
468530,KR7468530001,프로티나,KOSDAQ,기술성장기업부,95700,1,4400,4.82,91800,99000,91100,995948,95835630050,1045814288000,10939480,KSQ
424870,KR7424870004,이뮨온시아,KOSDAQ,기술성장기업부,14150,1,2570,22.19,11750,14850,11750,25102882,346627946925,1039052616690,74165069,KSQ
001740,KR7001740000,SK네트웍스,KOSPI,,4685,1,70,1.52,4645,4715,4615,270483,1265983288,1037793360380,221277902,STK
115180,KR7115180002,큐리언트,KOSDAQ,벤처기업부,28600,2,-1100,-3.7,30150,30250,28250,156201,4532780025,1033697596250,35954699,KSQ
036530,KR7036530004,SNT홀딩스,KOSPI,,60200,1,1300,2.21,59500,64000,58500,101330,6238545350,1020623263600,16303886,STK
281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,15420,2,-710,-4.4,15930,15980,15230,1039282,16099729480,1015536966600,65730548,KSQ
079160,KR7079160008,CJ CGV,KOSPI,,6130,1,400,6.98,5770,6240,5770,1466137,8939732690,1015014527570,165581489,STK
075580,KR7075580001,세진중공업,KOSPI,,17830,2,-250,-1.38,18130,18370,17750,433265,7747668940,1013625800480,56849456,STK
101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,47050,1,50,0.11,48600,48650,46300,225241,10579363325,1001672569050,21334879,KSQ
137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,42450,2,-150,-0.35,42800,42800,41350,177308,7467933400,998396766300,23743086,KSQ
003530,KR7003530003,한화투자증권,KOSPI,,4635,2,-25,-0.54,4700,4765,4635,1251240,5868595894,996574414875,214547775,STK
298020,KR7298020009,효성티앤씨,KOSPI,,230500,1,11000,5.01,222000,231250,220500,36357,8286787750,995366860000,4327682,STK
005690,KR7005690003,파미셀,KOSPI,,16560,2,-120,-0.72,16680,16840,16480,883037,14669861605,995081263120,60016964,STK
213420,KR7213420003,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,39750,2,-900,-2.21,40650,40850,39050,238666,9440636825,980831570500,24831179,KSQ
397030,KR7397030008,에이프릴바이오,KOSDAQ,기술성장기업부,42250,1,1450,3.55,41350,44200,40800,763994,32501573275,979391357200,23208326,KSQ
181710,KR7181710005,NHN,KOSPI,,29650,2,-250,-0.84,30100,30300,29600,55636,1658673200,979318856100,32753139,STK
287840,KR7287840003,인투셀,KOSDAQ,기술성장기업부,64600,1,1500,2.38,63300,64800,62500,392547,24976750650,965845440000,14997600,KSQ
319660,KR7319660007,피에스케이,KOSDAQ GLOBAL,우량기업부,32800,1,450,1.39,32900,33500,32150,434453,14257695825,950108219200,28966714,KSQ
499790,KR7499790004,GS피앤엘,KOSPI,,47450,2,-2400,-4.81,49900,50300,46900,257742,12301303250,947914199800,19830841,STK
112040,KR7112040001,위메이드,KOSDAQ,중견기업부,27650,3,0,0.0,27600,27750,27000,128772,3542029350,938675554950,33948483,KSQ
006650,KR7006650006,대한유화,KOSPI,,145400,2,-2900,-1.96,148300,148400,143900,42938,6250918550,937950000000,6500000,STK
031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,43250,2,-950,-2.15,44400,44400,43050,90307,3923244500,932573583750,21562395,KSQ
004490,KR7004490009,세방전지,KOSPI,,65700,1,200,0.31,66100,67100,65700,51216,3382720900,926800000000,14000000,STK
006730,KR7006730006,서부T&D,KOSDAQ,우량기업부,14070,1,2460,21.19,11760,14290,11560,8559524,114904999725,924482421990,65426923,KSQ
007810,KR7007810005,코리아써키트,KOSPI,,38850,2,-1050,-2.63,39950,41550,38400,644972,25672294950,923571364100,23620751,STK
486990,KR7486990005,노타,KOSDAQ,기술성장기업부,43600,2,-1600,-3.54,46000,46050,43300,1810046,80616066950,922657968000,21161880,KSQ
064960,KR7064960008,SNT모티브,KOSPI,,34200,2,-800,-2.29,35200,35525,33950,140765,4859248700,915639384000,26540272,STK
086900,KR7086900008,메디톡스,KOSDAQ,우량기업부,124000,2,-700,-0.56,124800,126000,123200,41898,5205665600,906473327400,7298497,KSQ
003240,KR7003240009,태광산업,KOSPI,,806000,1,17000,2.15,790000,819000,789000,2602,2100577500,901854000000,1113400,STK
195870,KR7195870001,해성디에스,KOSPI,,51800,2,-1300,-2.45,53000,53300,51500,144331,7543404700,887400000000,17000000,STK
183300,KR7183300003,코미코,KOSDAQ GLOBAL,우량기업부,84700,2,-1600,-1.85,87100,87200,84000,110022,9333146600,883927798000,10460684,KSQ
114090,KR7114090004,GKL,KOSPI,,14140,2,-190,-1.33,14470,14590,14090,675550,9628609405,876494843900,61855670,STK
036830,KR7036830008,솔브레인홀딩스,KOSDAQ GLOBAL,우량기업부,41450,2,-1300,-3.04,42700,43050,41300,67374,2805913950,876297540800,20964056,KSQ
066575,KR7066571001,LG전자우,KOSPI,,51200,1,500,0.99,51100,51500,50600,61672,3148804950,873048393600,17185992,STK
298050,KR7298050006,HS효성첨단소재,KOSPI,,195200,1,600,0.31,196400,196700,193800,12493,2439402250,870901891200,4479948,STK
