symbol,regime,net_expectancy,trades,win_rate,cost_avg
010950,TREND_DOWN,0.0006305317324185248,1,1.0,0.0028
010950,CHOP_HIGHVOL,0.003886246738680549,8,0.5,0.0028
010950,CHOP_LOWVOL,-0.002853640798022976,1712,0.2517523364485981,0.0028
010950,PANIC,-0.0033625677164527993,18,0.3333333333333333,0.0027999999999999995
066570,TREND_UP,0.008225358324145534,1,1.0,0.0028
066570,CHOP_LOWVOL,-0.0029284834392701822,1445,0.2512110726643599,0.0028
066570,PANIC,-0.0007354805086289698,21,0.5714285714285714,0.002799999999999999
016360,CHOP_HIGHVOL,-0.006670967741935483,1,0.0,0.0028
016360,CHOP_LOWVOL,-0.0025002191543507498,1514,0.3038309114927345,0.0028000000000000004
016360,PANIC,-0.002991299867629523,16,0.3125,0.0028
064350,TREND_UP,-6.730667546266719e-05,5,0.6,0.0028
064350,CHOP_HIGHVOL,0.001009800446909538,50,0.3,0.0027999999999999995
064350,CHOP_LOWVOL,-0.0023217005321135554,1184,0.30574324324324326,0.0028
064350,PANIC,-0.0014325959568095236,22,0.5909090909090909,0.002799999999999999
015760,TREND_UP,0.0034056447105448398,4,0.5,0.0028
015760,CHOP_HIGHVOL,-0.003480602459062384,22,0.36363636363636365,0.002799999999999999
015760,CHOP_LOWVOL,-0.0026066555351475255,1556,0.26735218508997427,0.0028
015760,PANIC,0.014499465791747015,9,0.8888888888888888,0.0028
010620,TREND_UP,0.04910478983218412,2,0.5,0.0028
010620,CHOP_HIGHVOL,-0.004532940428078919,79,0.31645569620253167,0.0027999999999999995
010620,CHOP_LOWVOL,-0.002499704117345148,1124,0.30604982206405695,0.0028000000000000004
010620,PANIC,-0.006154682967991872,32,0.34375,0.0028
267260,TREND_UP,-0.0021324401875305317,4,0.25,0.0028
267260,TREND_DOWN,-0.0013855728429985855,1,1.0,0.0028
267260,CHOP_HIGHVOL,-0.004592574685657075,14,0.21428571428571427,0.0027999999999999995
267260,CHOP_LOWVOL,-0.0024224855467160486,1281,0.29430132708821233,0.0028
267260,PANIC,-0.006551349043980779,15,0.3333333333333333,0.002799999999999999
011070,TREND_UP,0.010176541226216472,7,0.5714285714285714,0.0028
011070,TREND_DOWN,-0.0037053644357870046,5,0.2,0.0028
011070,CHOP_HIGHVOL,0.0005026702436512812,10,0.3,0.0028
011070,CHOP_LOWVOL,-0.0025433753862098424,1163,0.2751504729148753,0.0028
011070,PANIC,-0.0013001803275944227,27,0.37037037037037035,0.0027999999999999995
086520,TREND_UP,-0.005914784222307021,3,0.3333333333333333,0.0028
086520,CHOP_HIGHVOL,-0.002640814761772236,34,0.3235294117647059,0.0028
086520,CHOP_LOWVOL,-0.002466425155958903,1186,0.2487352445193929,0.0028
086520,PANIC,-0.002974127274936938,25,0.36,0.0027999999999999995
241560,TREND_UP,0.014677250368912934,2,0.5,0.0028
241560,TREND_DOWN,0.013807354685646499,1,1.0,0.0028
241560,CHOP_HIGHVOL,-0.008071896680812407,20,0.25,0.0027999999999999995
241560,CHOP_LOWVOL,-0.0028354405260805986,1426,0.24684431977559607,0.0028
241560,PANIC,-0.0037630581917251758,21,0.3333333333333333,0.002799999999999999
329180,TREND_UP,-0.016859265639543767,2,0.0,0.0028
329180,CHOP_HIGHVOL,-0.0011759414059747697,39,0.358974358974359,0.0027999999999999995
329180,CHOP_LOWVOL,-0.0022759624691488195,1248,0.3004807692307692,0.0028
329180,PANIC,-0.005262849645229443,26,0.2692307692307692,0.0027999999999999995
316140,TREND_UP,-0.011998095474834705,2,0.5,0.0028
316140,CHOP_LOWVOL,-0.002766867063774353,1574,0.28017789072426935,0.0027999999999999995
316140,PANIC,-0.004278449976509265,20,0.35,0.0027999999999999995
298380,TREND_UP,0.051791106767708185,4,0.5,0.0028
298380,CHOP_HIGHVOL,0.0003550192582072024,124,0.24193548387096775,0.0028
298380,CHOP_LOWVOL,-0.0028021135427951684,1042,0.2783109404990403,0.0027999999999999995
298380,PANIC,-0.0014259682957725528,25,0.28,0.0027999999999999995
030200,CHOP_LOWVOL,-0.003012119482259192,1810,0.23812154696132598,0.002799999999999999
