symbol,total_return,net_expectancy,gross_expectancy,cost_avg,win_rate,mdd,trades,trades_per_day,run_id
086790,-0.9932387746010144,-0.0028472124907182217,-4.721249071822217e-05,0.0027999999999999995,0.27680798004987534,-0.9932678031530249,1604,6.365079365079365,verify_turbo_v3_086790_20251215_025236
034020,-0.9661099521459011,-0.00224612657684001,0.00055387342315999,0.0028,0.29623944742901,-0.9665894807750818,1303,5.191235059760956,verify_turbo_v3_034020_20251215_025241
214150,-0.9926910284329072,-0.002979441374067757,-0.0001794413740677577,0.0027999999999999995,0.25483655770513675,-0.9927179952344225,1499,5.948412698412699,verify_turbo_v3_214150_20251215_025245
047810,-0.9837828782276383,-0.0027697873324848384,3.0212667515162016e-05,0.0028000000000000004,0.27393225331369664,-0.9839360207227146,1358,5.388888888888889,verify_turbo_v3_047810_20251215_030316
000250,-0.9383735768915671,-0.0018596074538253173,0.0009403925461746827,0.0028,0.28347826086956524,-0.9454934770529319,1150,4.618473895582329,verify_turbo_v3_000250_20251215_030404
051900,-0.9973512033468518,-0.003035805471147254,-0.00023580547114725495,0.002799999999999999,0.22568093385214008,-0.9974012061342287,1799,7.138888888888889,verify_turbo_v3_051900_20251215_030445
001440,-0.9706932890012308,-0.00262018004064166,0.00017981995935834006,0.0028,0.2625,-0.9714585025924853,1200,4.780876494023905,verify_turbo_v3_001440_20251215_030525
012450,-0.9515228527938295,-0.002014620339613367,0.0007853796603866331,0.0028,0.3199679230152366,-0.9543361714156734,1247,4.968127490039841,verify_turbo_v3_012450_20251215_030657
017800,-0.9935623264051425,-0.0028860457581445023,-8.604575814450234e-05,0.0028,0.27560050568900124,-0.9935671518062752,1582,6.277777777777778,verify_turbo_v3_017800_20251215_030858
003490,-0.9982684225042217,-0.0029596565627798177,-0.00015965656277981872,0.002799999999999999,0.24447868515665125,-0.9982690473087329,1947,7.726190476190476,verify_turbo_v3_003490_20251215_030943
009150,-0.9717136974974132,-0.0025039458427125122,0.00029605415728748796,0.0028000000000000004,0.275626423690205,-0.9719878408876346,1317,5.268,verify_turbo_v3_009150_20251215_030957
