date,equity,regime
2025-03-25,99724818.42544162,COOLDOWN
2025-03-26,99913229.81903169,COOLDOWN
2025-03-27,99913229.81903169,TURBO(Vol:1.1)
2025-03-28,99518692.89404368,BASE
2025-03-31,98766605.062249,BASE
2025-04-01,97450350.11401556,BASE
2025-04-02,97262288.03484815,BASE
2025-04-03,97826485.2916128,BASE
2025-04-04,99330923.66735956,BASE
2025-04-07,98202767.47886221,BASE
2025-04-08,99707150.29981498,BASE
2025-04-09,99331111.90439855,BASE
2025-04-10,102151507.72042209,BASE
2025-04-11,106286934.92888083,BASE
2025-04-14,106286934.92888083,BASE
2025-04-15,100649931.4156884,BASE
2025-04-16,100837937.89135167,BASE
2025-04-17,100273929.08619666,BASE
2025-04-18,101778038.0224896,BASE
2025-04-21,101778038.0224896,BASE
2025-04-22,101966023.57779233,BASE
2025-04-23,102154005.63243294,BASE
2025-04-24,100274220.02692907,BASE
2025-04-25,99522163.3767271,BASE
2025-04-28,99898220.4062804,BASE
2025-04-29,99710199.04087695,BASE
2025-04-30,99146124.20058857,BASE
2025-05-02,99334159.9533828,BASE
2025-05-07,98958095.63845414,BASE
2025-05-08,100086331.89199045,BASE
2025-05-09,100086331.89199045,BASE
2025-05-12,99898313.92505862,BASE
2025-05-13,100462378.54931226,BASE
2025-05-14,101778454.69930609,BASE
2025-05-15,103470331.62350538,BASE
2025-05-16,102954809.52555148,BASE
2025-05-19,100097057.29316613,TURBO(Vol:1.5)
2025-05-20,101186499.71857701,TURBO(Vol:1.5)
2025-05-21,96437964.02798049,COOLDOWN
2025-05-22,96166265.14352354,COOLDOWN
2025-05-23,102013149.68750322,TURBO(Vol:1.5)
2025-05-26,107074268.46829763,TURBO(Vol:1.5)
2025-05-27,107072676.47955257,TURBO(Vol:1.5)
2025-05-28,105408502.3320823,TURBO(Vol:1.5)
2025-05-29,117974871.8305675,COOLDOWN
2025-05-30,119790994.80765748,COOLDOWN
2025-06-02,116451842.50145331,TURBO(Vol:1.4)
2025-06-04,131343016.07057282,COOLDOWN
2025-06-05,133800647.84372453,COOLDOWN
2025-06-09,136561734.6910985,TURBO(Vol:1.1)
2025-06-10,135625712.2994508,TURBO(Vol:1.2)
2025-06-11,138298597.2549041,TURBO(Vol:1.2)
2025-06-12,140812341.62332162,TURBO(Vol:1.2)
2025-06-13,133233871.12209511,COOLDOWN
2025-06-16,137433592.6157704,COOLDOWN
2025-06-17,141793644.19677588,TURBO(Vol:1.1)
2025-06-18,146528093.45586953,TURBO(Vol:1.2)
2025-06-19,143704670.870786,TURBO(Vol:1.2)
2025-06-20,140759264.1348693,TURBO(Vol:1.2)
2025-06-23,138188057.9200624,COOLDOWN
2025-06-24,142176328.12117013,COOLDOWN
2025-06-25,144079845.01346093,TURBO(Vol:1.2)
2025-06-26,158486796.7442494,COOLDOWN
2025-06-27,160280514.0440588,COOLDOWN
2025-06-30,154147557.7140787,TURBO(Vol:1.1)
2025-07-01,174884549.89772624,COOLDOWN
2025-07-02,171327071.1313234,COOLDOWN
2025-07-03,167972206.64048427,TURBO(Vol:1.3)
2025-07-04,160533511.13868752,COOLDOWN
2025-07-07,161886075.07022318,COOLDOWN
2025-07-08,165420766.5730607,TURBO(Vol:1.1)
2025-07-09,173761251.50433487,TURBO(Vol:1.1)
